Price,Cells,Capacity (mAh),Dollars per Wh,Link
$11.62,3,5000,0.20937,http://www.hobbyking.com/hobbyking/store/__15512__B_Grade_5000mAh_3S_20C_Lipoly_Battery.html
$19.99,5,5000,0.21611,http://www.hobbyking.com/hobbyking/store/__12459__Polyquest_5000mAh_5S_25C_45C_Lipoly.html
$14.04,3,5000,0.25297,http://www.hobbyking.com/hobbyking/store/__15494__B_Grade_5000mAh_3S_25C_Lipoly_Battery.html
$6.99,3,2200,0.28624,http://www.hobbyking.com/hobbyking/store/__15453__B_Grade_2200mAh_3S_20C_Lipoly_Battery.html
$7.15,3,2200,0.29279,http://www.hobbyking.com/hobbyking/store/__24770__B_Grade_2200mAh_3S_35C_Lipoly_Battery.html
$11.56,4,2650,0.29475,http://www.hobbyking.com/hobbyking/store/__24774__B_Grade_2650mAh_4S_40C_Lipoly_Battery.html
$11.57,4,2650,0.295,http://www.hobbyking.com/hobbyking/store/__24773__B_Grade_2650mAh_4S_30C_Lipoly_Battery.html
$8.74,3,2650,0.29713,http://www.hobbyking.com/hobbyking/store/__24772__B_Grade_2650mAh_3S_30C_Lipoly_Battery.html
$19.41,3,5800,0.30149,http://www.hobbyking.com/hobbyking/store/__50207__B_Grade_5800mAh_3S_25C_Lipoly_Battery.html
$17.06,3,5000,0.30739,http://www.hobbyking.com/hobbyking/store/__15498__B_Grade_5000mAh_3S_30C_Lipoly_Battery.html
$11.29,3,3300,0.30822,http://www.hobbyking.com/hobbyking/store/__24776__B_Grade_3300mAh_3S_30C_Lipoly_Battery.html
$7.89,3,2200,0.3231,http://www.hobbyking.com/hobbyking/store/__8932__Turnigy_2200mAh_3S_20C_Lipo_Pack.html
$8.16,3,2200,0.33415,http://www.hobbyking.com/hobbyking/store/__15452__B_Grade_2200mAh_3S_30C_Lipoly_Battery.html
$9.10,3,2450,0.33462,http://www.hobbyking.com/hobbyking/store/__24771__B_Grade_2450mAh_3S_30C_Lipoly_Battery.html
$12.42,3,3000,0.37297,http://www.hobbyking.com/hobbyking/store/__24775__B_Grade_3000mAh_3S_40C_Lipoly_Battery.html
$49.99,9,4000,0.3753,http://www.hobbyking.com/hobbyking/store/__21366__ZIPPY_Compact_4000mAh_9S_25C_Lipo_Pack.html
$22.88,6,2650,0.38892,http://www.hobbyking.com/hobbyking/store/__9181__Turnigy_2650mAh_6S_20C_Lipo_Pack.html
$16.49,3,3700,0.40151,http://www.hobbyking.com/hobbyking/store/__7295__Rhino_3700mAh_3S_11_1v_20C_Lipoly_Pack.html
$15.79,4,2650,0.4026,http://www.hobbyking.com/hobbyking/store/__9182__Turnigy_2650mAh_4S_20C_Lipo_Pack.html
$49.99,9,3700,0.40573,http://www.hobbyking.com/hobbyking/store/__21418__ZIPPY_Compact_3700mAh_9S_35C_Lipo_Pack.html
$22.66,5,3000,0.40829,http://www.hobbyking.com/hobbyking/store/__9263__Turnigy_3000mAh_5S_20C_Lipo_Pack.html
$17.10,3,3700,0.41636,http://www.hobbyking.com/hobbyking/store/__9340__Rhino_3700mAh_3S_11_1v_25C_Lipoly_Pack_.html
$12.31,3,2650,0.41849,http://www.hobbyking.com/hobbyking/store/__9271__Turnigy_2650mAh_3S_20C_Lipo_Pack.html
$49.99,8,4000,0.42221,http://www.hobbyking.com/hobbyking/store/__21365__ZIPPY_Compact_4000mAh_8S_25C_Lipo_Pack.html
$23.47,3,5000,0.42288,http://www.hobbyking.com/hobbyking/store/__15490__B_Grade_5000mAh_3S_40C_Lipoly_Battery.html
$39.20,5,5000,0.42378,http://www.hobbyking.com/hobbyking/store/__9174__Turnigy_5000mAh_5S_20C_Lipo_Pack.html
$34.91,6,3700,0.42501,http://www.hobbyking.com/hobbyking/store/__7297__Rhino_3700mAh_6S_22_2v_20C_Lipoly_Pack.html
